CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,GNR_LF,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Profile of Dissemination Areas (2247),Member ID: Profile of Dissemination Areas (2247),Notes: Profile of Dissemination Areas (2247),Dim: Sex (3): Member ID: [1]: Total - Sex,Dim: Sex (3): Member ID: [2]: Male,Dim: Sex (3): Member ID: [3]: Female
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,"Population, 2016",1,1,551.0,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,"Population, 2011",2,2,,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,"Population percentage change, 2011 to 2016",3,,,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,Total private dwellings,4,3,197.0,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,Private dwellings occupied by usual residents,5,4,197.0,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,Population density per square kilometre,6,,3755.6557295496555,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,Land area in square kilometres,7,,0.146712063,,
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,Total - Age groups and average age of the population - 100% data,8,5,548.8480244371381,268.0163596855482,276.2380686924766
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,0 to 14 years,9,,105.29442883309252,60.80669290890681,44.48773592418571
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,0 to 4 years,10,,27.078834799030705,20.429811488185305,13.298046621690805
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,5 to 9 years,11,,31.18968930249491,22.485238739917406,13.298046621690805
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,10 to 14 years,12,,35.78328536160821,17.891642680804104,19.94706993253621
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,15 to 64 years,13,,364.73079898519893,167.79826846721807,194.87710326624878
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,15 to 19 years,14,,33.24511655422701,8.704450562577504,17.891642680804104
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,20 to 24 years,15,,22.002497184268307,13.298046621690805,8.704450562577504
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,25 to 29 years,16,,26.11335168773251,6.166281755196305,17.891642680804104
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,30 to 34 years,17,,22.485238739917406,11.242619369958703,13.298046621690805
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,35 to 39 years,18,,29.134262050762807,17.891642680804104,17.891642680804104
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,40 to 44 years,19,,28.65152049511371,15.836215429072004,15.353473873422907
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,45 to 49 years,20,,26.59609324338161,10.759877814309606,15.836215429072004
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,50 to 54 years,21,,39.89413986507242,19.94706993253621,22.002497184268307
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,55 to 59 years,22,,64.43480585672192,26.59609324338161,37.83871261334031
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,60 to 64 years,23,,65.52474999715582,32.76237499857791,32.76237499857791
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,65 years and over,24,,83.41639267795993,48.59859042764992,41.46682556115542
2016,35089-192-0,PollDiv,35089-192-0,1.3,5.2,0,35089-192-0,65 to 69 years,25,,44.004994368536615,22.002497184268307,19.46432837688711
