CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,GNR_LF,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Profile of Dissemination Areas (2247),Member ID: Profile of Dissemination Areas (2247),Notes: Profile of Dissemination Areas (2247),Dim: Sex (3): Member ID: [1]: Total - Sex,Dim: Sex (3): Member ID: [2]: Male,Dim: Sex (3): Member ID: [3]: Female
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,"Population, 2016",1,1,472.0,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,"Population, 2011",2,2,,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,"Population percentage change, 2011 to 2016",3,,,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total private dwellings,4,3,199.0,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Private dwellings occupied by usual residents,5,4,195.0,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Population density per square kilometre,6,,3001.2487992779306,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Land area in square kilometres,7,,0.15726786799999998,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total - Age groups and average age of the population - 100% data,8,5,471.37712535023303,224.11369876411288,245.33546391088487
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,0 to 14 years,9,,69.38823108316443,35.02770524273026,34.683830809914795
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,0 to 4 years,10,,18.5399846413383,9.757354381882388,8.827552543711827
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,5 to 9 years,11,,26.853005477616016,12.31737123318996,14.844383451017668
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,10 to 14 years,12,,21.77165121962045,11.688871275513446,12.618673113684006
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,15 to 64 years,13,,326.16259895454374,155.0418933528281,171.44045635280054
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,15 to 19 years,14,,26.52202404284733,11.653516910099093,12.951546002006191
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,20 to 24 years,15,,25.2293216842938,13.258174615853807,10.40041010244791
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,25 to 29 years,16,,29.9834778651069,17.391278165087957,13.568357448097146
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,30 to 34 years,17,,25.87684772953781,9.459606719784063,15.476437627089904
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,35 to 39 years,18,,23.363186788137885,11.376567850526111,11.986618937611771
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,40 to 44 years,19,,26.472860573103425,12.283450493427331,15.130213462339942
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,45 to 49 years,20,,32.55896658558624,18.012330796666905,17.082528958496344
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,50 to 54 years,21,,43.198850789448784,21.15804591413907,23.658584718301718
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,55 to 59 years,22,,47.12193065235244,24.357793406806937,26.256076527767636
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,60 to 64 years,23,,45.86137651860369,20.88109685456609,25.923203639445454
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,65 years and over,24,,75.49130183145873,33.423047536975545,42.99805613265374
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,65 to 69 years,25,,25.87828135518954,13.869659328591192,12.008622026598346
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,70 to 74 years,26,,19.28744069330466,10.755515218947163,11.078820188427786
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,75 to 79 years,27,,12.642796795414577,3.4338948607289286,10.149705317349497
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,80 to 84 years,28,,10.10478303309358,4.108750728313083,5.3618575359642655
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,85 years and over,29,,7.236016975194396,1.8720388464861335,7.267817122213028
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,85 to 89 years,30,,6.648885083378077,2.19391019031503,4.729803359892031
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,90 to 94 years,31,,3.1679473456492357,0.0,1.2531068076511822
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,95 to 99 years,32,,0.9408033826638478,0.0,0.0
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,100 years and over,33,,0.0,0.0,0.0
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total - Distribution (%) of the population by broad age groups - 100% data,34,,100.0,100.0,100.0
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,0 to 14 years,35,,14.734533898305084,15.639618644067797,14.158262711864406
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,15 to 64 years,36,,69.17351694915254,69.14470338983051,69.92838983050846
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,65 years and over,37,,15.99978813559322,14.911016949152541,17.454661016949153
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,85 years and over,38,,1.5542372881355933,0.8190677966101695,2.9487288135593226
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Average age of the population,39,,42.94703389830509,41.82627118644068,43.909533898305085
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Median age of the population,40,6,46.514830508474574,45.54216101694916,47.08749999999999
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total - Occupied private dwellings by structural type of dwelling - 100% data,41,7,188.34763193722873,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Single-detached house,42,,125.0840380824069,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Apartment in a building that has five or more storeys,43,,7.171314741035856,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Other attached dwelling,44,8,57.969928510995885,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Semi-detached house,45,,4.640986692310346,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Row house,46,,5.8759799651567945,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Apartment or flat in a duplex,47,,21.598764815786943,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Apartment in a building that has fewer than five storeys,48,,25.668855332839613,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Other single-attached house,49,,0.0,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Movable dwelling,50,9,0.0,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total - Private households by household size - 100% data,51,10,188.34763193722873,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,1 person,52,,60.0431044275467,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,2 persons,53,,65.41370285587298,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,3 persons,54,,34.84966490501502,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,4 persons,55,,18.406074922243405,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,5 or more persons,56,,10.010655713733614,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Number of persons in private households,57,,471.3640032129958,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Average household size,58,,2.252542372881356,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total - Marital status for the population aged 15 years and over - 100% data,59,11,401.97577212983134,188.15619168321206,210.96181593321342
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Married or living common law,60,,206.3841427488144,104.62095363111015,105.86093830152404
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Married,61,,151.71532532193197,76.47203965433104,76.816143226337
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Living common law,62,,55.94060224431498,26.864007022109302,26.231952846037068
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Not married and not living common law,63,,196.22368355708923,87.02505674158004,106.9729164781755
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Never married,64,,111.31781622869799,59.280411351044094,52.658457509232846
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Separated,65,,19.538145478403077,8.825431950967833,12.008622026598346
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Divorced,66,,40.718423620719214,16.093249073180857,22.706092824052313
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Widowed,67,,25.270350860847874,8.219622049370162,19.599744118291994
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total - Census families in private households by family size - 100% data,68,12,125.18839306343972,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,2 persons,69,,69.576916189569,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,3 persons,70,,28.906950788442995,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,4 persons,71,,16.701634726872133,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,5 or more persons,72,,5.942714116572024,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Average size of census families,73,,2.677330508474576,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total number of census families in private households - 100% data,74,,125.18839306343972,,
2016,35100-118-0,PollDiv,35100-118-0,4.7,10.9,11,35100-118-0,Total couple families,75,,91.92075473333492,,
